Country,1979-01-01 00:00:00,1980-01-01 00:00:00,1981-01-01 00:00:00,1982-01-01 00:00:00,1983-01-01 00:00:00,1984-01-01 00:00:00,1985-01-01 00:00:00,1986-01-01 00:00:00,1987-01-01 00:00:00,1988-01-01 00:00:00,1989-01-01 00:00:00,1990-01-01 00:00:00,1991-01-01 00:00:00,1992-01-01 00:00:00,1993-01-01 00:00:00,1994-01-01 00:00:00,1995-01-01 00:00:00,1996-01-01 00:00:00,1997-01-01 00:00:00,1998-01-01 00:00:00,1999-01-01 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052042674993494666,0.047080979284369114,0.04338394793926247,0.04166666666666667,0.041118421052631575,0.03901677721420211,0.10960906101571063,0.10485844110450893,0.18272425249169436,0.17263025737602009,0.1637392080976481,0.15556498373638805,0.14735432016075017,0.14127921911122526,0.137311197103982,0.13305915084069192,0.19542476146683527,0.19118308591992803,0.18514484861685906,0.1815269620928991
Austria,0.0,0.0,0.0,0.0,0.0,0.0,1.3862633900441084,1.282051282051282,1.2687427912341407,1.1404872991187145,1.0294805802526907,0.9743135518157661,0.9224318658280923,0.8425890463423975,1.6146393972012916,1.483679525222552,1.3493253373313343,1.2651110486364914,1.1709601873536302,1.059322033898305,1.4967462039045552,1.4375,1.4185855263157896,1.3460788138899726,1.2605042016806722,1.2058720727018526,1.5614617940199336,1.4752040175768988,1.7862459065197975,1.6970725498515062,1.6075016744809107,1.8880041099409197,2.18449631756335,2.1168501270110074,2.0117254856880105,1.9680611785874942,2.2217381834023087,2.178323545114789
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,0.0,0.0,0.37831021437578816,0.30927835051546393,0.26246719160104987,0.22641509433962265,0.1890359168241966,0.17482517482517482,0.17301038062283738,0.15552099533437014,0.14038371548900327,0.1328609388839681,0.12578616352201258,0.11489850631941785,0.1076426264800861,0.09891196834817012,0.08995502248875561,0.08434073657576609,0.078064012490242,0.07062146892655367,0.0650759219088937,0.0625,0.061677631578947366,0.058525165821303154,0.05480453050785532,0.05242922055225446,0.11627906976744186,0.1098556183301946,0.10419767788032153,0.09899589874133786,0.1607501674480911,0.15412278448497305,0.149794033204344,0.1451554372807548,0.21841590987469825,0.2136752136752137,0.20692659551296017,0.28830752802989856
Bosnia_and_Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07659900421294523,0.07176175098672408,0.06594131223211341,0.05997001499250374,0.056227157717177394,0.13010668748373666,0.11770244821092278,0.10845986984815618,0.10416666666666667,0.10279605263157894,0.09754194303550526,0.09134088417975886,0.08738203425375743,0.08305647840531562,0.07846829880728186,0.07442691277165824,0.07071135624381275,0.06697923643670461,0.11559208836372976,0.11234552490325801,0.1088665779605661,0.10346016783538338,0.10121457489878542,0.0980178610324548,0.09610250934329952
Brazil,0.0,0.0,0.0,0.0,0.26246719160104987,0.22641509433962265,0.1890359168241966,0.17482517482517482,0.17301038062283738,0.15552099533437014,0.14038371548900327,0.1328609388839681,0.12578616352201258,0.11489850631941785,0.1076426264800861,0.23079459281239698,0.2098950524737631,0.1967950520101209,0.18214936247723132,0.2824858757062147,0.39045553145336226,0.375,0.3700657894736842,0.351150994927819,0.3288271830471319,0.3145753233135267,0.29900332225913623,0.2824858757062147,0.2679368859779696,0.2545608824777259,0.24112525117213662,0.23118417672745953,0.22469104980651602,0.2177331559211322,0.20692033567076676,0.20242914979757085,0.1960357220649096,0.19220501868659903
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7575757575757576,0.7497116493656286,0.673924313115604,0.6083294337856809,0.5757307351638619,0.5450733752620545,0.49789352738414405,0.46645138141370646,0.42861852950873724,0.38980509745127434,0.3654765251616531,0.33827738745771535,0.6355932203389831,0.5856832971800434,0.5625,0.5550986842105263,0.5267264923917284,0.7672634271099744,0.7340090877315625,0.9634551495016611,0.9102322661644695,0.8633521881512354,0.8202517324282279,1.0046885465505693,0.9632674030310814,0.9362127075271502,0.9072214830047175,0.8621680652948615,0.8434547908232118,0.81681550860379,0.800854244527496
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09416195856873823,0.08676789587852494,0.08333333333333334,0.08223684210526315,0.07803355442840422,0.07307270734380708,0.06990562740300593,0.0664451827242525,0.06277463904582549,0.05954153021732659,0.0565690849950502,0.12056262558606831,0.11559208836372976,0.11234552490325801,0.1088665779605661,0.10346016783538338,0.10121457489878542,0.0980178610324548,0.09610250934329952
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech_Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1637392080976481,0.15556498373638805,0.14735432016075017,0.14127921911122526,0.299588066408688,0.2903108745615096,0.2758937808943557,0.2699055330634278,0.2613809627532128,0.2562733582487987
