country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005125267145773831,0.00847329851804501,0.011394114604685661,0.010228429920965322,0.009278306909109434,0.010384246064432799,0.012244555518855482,0.012959368913384638,0.014754981083603257,0.016298896319200423,0.019895912093734307,0.022573747789062647,0.024521344088868833,0.024305976744096073,0.025537772344636434,0.026898192176579294,0.027948049917075196,0.029384994247748764,0.02814916080978231,0.02701838830725719,0.02800168598249323,0.02946865684409555,0.02836977350505373,0.028771115552540513,0.02780054113682763,0.02691614609428275,0.02610181802474956,0.025338917670640893,0.024679823142132358,0.024629719670031767
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.013936235767315e-05,4.548189661328153e-05,4.13714982646725e-05,7.558367604231779e-05,6.930143803949004e-05,6.387437698529548e-05,5.916114816406688e-05,5.51897700242283e-05,5.1597137803571764e-05,4.836557019500756e-05,9.103362076440476e-05,0.0001290873075550283,0.00012226450989354226,0.0001354822364401152,0.00016633015611933265,0.00015933487250820177,0.00015293427343730486,0.00016337039663064895,0.000157250036521321,0.00015138619799921947,0.00014604627184030717,0.00014111949815648542,0.0001366301832197094,0.00013249653819669827,0.00012862394756670502,0.0001378061190677441,0.00013752635348748704
Argentina,1.9420196141825627,1.5329623461554083,1.4086035456893806,1.3088582125245327,1.3411192374426215,1.3653313945307004,1.2983450410763187,1.2849609909580406,1.2778765386332809,1.2806518458707,1.2735715745884435,1.2505759759250838,1.2231446456209802,1.2029590550418825,1.1831490729284215,1.1624623216744059,1.141818362989142,1.123499784209712,1.1083485565115652,1.0967487611527214,1.0866534483563324,1.0857807532622468,1.0938213005675324,1.1004417212968272,1.1088640414467257,1.1165004135152492,1.1236826325520082,1.1313567767980355,1.1358326825745868,1.1413836650863562,1.1424813590605094,1.1451634221270326,1.1476260948579864,1.1554951225074044,1.1601131891426506,1.1677639575633583,1.1758870861760542,1.1734998719129552
Armenia,0.0,0.0,0.02170348789204874,0.02671812379397358,0.022237596362917573,0.018997138702565787,0.022478866531729966,0.023979479378858817,0.026539054535650794,0.027351309186924706,0.028876261032463175,0.03058501103818062,0.031382508663164256,0.03198016815859185,0.03321902562059867,0.034338862548567314,0.03580158830025811,0.0357333334910964,0.035459427240566686,0.034853866586312725,0.03429118926826036,0.03365968127763866,0.033110894387864756,0.03286877574304728,0.032360899903981805,0.030900446781280465,0.02960087853707926,0.029737219835031498,0.02974974922644117,0.02962590688061687,0.02932350655244881,0.029355300639901737,0.02931051976710202,0.029457467502169345,0.029453980441126022,0.029339122439965417,0.029503037309503398,0.03028080255879033
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025549750794118194,0.00023664459265626753,0.0002207590800969132,0.00020638855121428705,0.0004111073466575642,0.0006144769401597322,0.000666951089034313,0.0008150967326236151,0.0008128934186406912,0.0009240564228851813,0.0010622324833880117,0.0011724960963526705,0.0012579520540559968,0.0012737252958227,0.0012867826829933652,0.001343625700930826,0.0014253069313805028,0.0014209539054849778,0.0014044633048850017,0.0014277258179904257,0.0015033394807390267,0.0015002874925907678
Australia,1.8051514171785754,1.3327105081441164,1.1682138265372322,1.1079775039994724,1.1551195888515517,1.1923636193067217,1.1457554470770328,1.1362397754164315,1.1399857896702699,1.1469481795491956,1.143600473190877,1.137010320184954,1.1354555489505735,1.1259666967713269,1.1055624294709823,1.0927797257256986,1.0765068125216775,1.0688348833061143,1.0701020458847748,1.0683445367918551,1.0616000829953185,1.0534865762960741,1.0487913447820867,1.0406136211222539,1.0301101528646073,1.0226902054639455,0.9796793155540402,0.976298416229657,0.9750435382107021,0.9753276265198412,0.9743367089427764,0.9753116079767553,0.9761659045978567,0.9803625536563809,0.9852575076844681,0.9936457197423096,1.0057215847854026,1.003679830147452
Austria,0.0,0.7847597384134205,0.9351372391747957,0.9951676479804726,1.108448090312095,1.1847413105680378,1.1614716037623527,1.1572319122464088,1.1515702976024984,1.1372288077196735,1.125503938230494,1.1018626271722252,1.07996763508237,1.0551386917422074,1.0282403288796913,1.0043164400682896,0.9827711642957563,0.9628772669442706,0.9421721589686136,0.9210605069315595,0.9009780243776984,0.8840502496483258,0.8677679104874186,0.8535489209851341,0.8388866534319877,0.8273077154091029,0.8172816727187362,0.8064903946231028,0.7963653354157614,0.7864546076540826,0.7764749481577965,0.7675461816567343,0.7598297139239646,0.7530919068887162,0.747412971967575,0.7424688749340481,0.7388287156382009,0.7523816751384984
Azerbaijan,0.0,0.0,0.06770544592410857,0.086751438985371,0.07220355362280645,0.06168206763919508,0.07334206453149184,0.08114268274664348,0.08839330597985279,0.09289476537062581,0.09550949006868864,0.09145419694039583,0.08905355356880525,0.0869628893523416,0.0839356722449939,0.0785878307367817,0.07399846573746481,0.07057924975973179,0.06879404833520059,0.06576055213065221,0.06294778960880233,0.06065114983428467,0.06415639185484907,0.06264018390212482,0.06199280047395557,0.061191016323456714,0.05861752920829511,0.0562628199278796,0.054990475505876435,0.05293036229307664,0.05095659424653727,0.04915917510144739,0.047500823079472995,0.045989719671754185,0.04459833475700864,0.04329482075095291,0.0421686724347297,0.04208306416717104
Bahamas,0.0,0.0004061903407936959,0.0004718149541749726,0.0003298533801725133,0.0009608837934594012,0.0016417280360242037,0.0014287415168472437,0.0012110848171140818,0.001263764501697657,0.0011214659803294867,0.0010053630533546172,0.0009025085224381167,0.0008186741390390676,0.0007446869687641051,0.0009447959505289724,0.0009702201325528606,0.0009581156547794322,0.0009761589447071035,0.0009658209754239954,0.0009803456182678634,0.0010640425442901664,0.0012517122855105656,0.0012048148705135976,0.0012022676806198321,0.0011612763123438445,0.001145829964377625,0.001168455731726813,0.0011555033993040811,0.0011926038954037372,0.0012108252812141715,0.0012565054433935215,0.0013582303281148567,0.001368859132117909,0.0013936278688410357,0.0014177129587046714,0.0013762762389637436,0.0013404777036589654,0.0013377563475601012
Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,0.001047743779021312,0.00088812886588366,0.0014041827796640633,0.0021183246295112526,0.0018990191007809435,0.0017047383201608873,0.0015463844848515721,0.0014066309409988653,0.0012849224927194024,0.0011781244466713306,0.0010858644087500232,0.001005739518789137,0.0009382260904118813,0.00087715134266072,0.001233322039972693,0.001820672415288095,0.0022159987796946524,0.002608309544395568,0.0031354460433283804,0.00377015020537154,0.004355153181890848,0.004655998991313503,0.005129830454202377,0.005613826303811159,0.005949477581369325,0.006017106399820655,0.0060681384207288734,0.006134695226564952,0.006015342834130101,0.005955288772338443,0.005800384829851411,0.005788609242246045
